Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_date,dep_time_obj,arr_time_obj,business_economy,duration_minutes,weekday_weekend,same_day_arrival,overnight_flight,popularity_of_airline,has_meal,has_inflight_entertainment,origin_code,destination_code,distance,is_diwali,is_eid_fitr,is_eid_adha,is_christmas_newyear,is_holi,is_ganesh_chaturthi,is_dussehra,is_republic_day,is_independence_day,is_holiday_period,month,day_of_month,week_of_year,quarter,season,is_peak_season,departure_time_of_day,arrival_time_of_day,is_morning_departure,is_evening_departure,num_stops,is_direct_flight,route_key,route_popularity,is_metro_route,days_until_month_end,is_month_start,is_month_end,average_speed,duration_per_km,is_long_haul,is_short_haul
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 22 Mar,2h 50m,non-stop,No info,3897,2019-03-24,22:20:00,01:10:00,0,170,1,0,1,2053,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,24,12,1,1,1,3,0,0,1,0,1,Banglore_New Delhi,932,0,7,0,1,603.0536771836476,0.0994936309487559,1,0
Air India,1/05/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No info,7662,2019-05-01,05:50:00,13:15:00,0,445,0,1,0,1752,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,1,18,2,1,1,0,2,0,0,2,0,Kolkata_Banglore,2871,1,30,1,0,208.50839867155958,0.2877581928702614,1,0
Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882,2019-06-09,09:25:00,04:25:00,0,1140,1,0,1,3849,0,0,DEL,COK,2047.882109458646,0,1,0,0,0,0,0,0,0,1,6,9,23,2,1,0,1,0,1,0,2,0,Delhi_Cochin,4537,0,21,1,0,107.7832689188761,0.5566726691612912,1,0
IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218,2019-05-12,18:05:00,23:30:00,0,325,1,1,0,2053,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,12,19,2,1,1,3,3,0,1,1,0,Kolkata_Banglore,2871,1,19,0,0,285.49611510413547,0.21016047793895495,1,0
IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302,2019-03-01,16:50:00,21:35:00,0,285,0,1,0,2053,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,1,9,1,1,1,2,3,0,0,1,0,Banglore_New Delhi,932,0,30,1,0,359.71622849550903,0.16679814600232606,1,0
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873,2019-06-24,09:00:00,11:25:00,0,145,0,1,0,818,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,6,24,26,2,1,0,1,1,1,0,0,1,Kolkata_Banglore,2871,1,6,0,1,639.9050855782347,0.09376390554199529,1,0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087,2019-03-12,18:55:00,10:25:00,0,930,0,0,0,3849,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,12,11,1,1,1,3,1,0,1,1,0,Banglore_New Delhi,932,0,19,0,0,110.23561840991405,0.5442886869549588,1,0
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,22270,2019-03-01,08:00:00,05:05:00,0,1265,0,0,1,3849,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,1,9,1,1,1,1,0,1,0,1,0,Banglore_New Delhi,932,0,30,1,0,81.04278665709096,0.7403496655892718,1,0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087,2019-03-12,08:55:00,10:25:00,0,1530,0,0,0,3849,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,12,11,1,1,1,1,1,1,0,1,0,Banglore_New Delhi,932,0,19,0,0,67.0059641315164,0.8954426785388031,1,0
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625,2019-05-27,11:25:00,19:15:00,0,470,0,1,0,1196,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,5,27,22,2,1,1,1,3,1,0,1,0,Delhi_Cochin,4537,0,4,0,1,261.4317586542952,0.22950539868930428,1,0
