Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,is_business,journey_date,dep_time_obj,arr_time_obj,business_economy,duration_minutes,weekday_weekend,same_day_arrival,overnight_flight,popularity_of_airline,has_meal,has_inflight_entertainment,origin_code,destination_code,distance,is_diwali,is_eid_fitr,is_eid_adha,is_christmas_newyear,is_holi,is_ganesh_chaturthi,is_dussehra,is_republic_day,is_independence_day,is_holiday_period,month,day_of_month,week_of_year,quarter,season,is_spring,is_summer,is_monsoon,is_winter,departure_time_of_day,arrival_time_of_day,is_morning_departure,is_evening_departure,num_stops,is_direct_flight,route_key,route_popularity,is_metro_route,days_until_month_end,is_month_start,is_month_end,average_speed,duration_per_km,is_long_haul,is_short_haul
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 22 Mar,2h 50m,non-stop,No info,3897,0,2019-03-24,22:20:00,01:10:00,0,170,1,0,1,2043,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,24,12,1,1,1,0,0,0,3,0,0,1,0,1,Banglore_New Delhi,914,0,7,0,1,603.0536771836476,0.0994936309487559,1,0
Air India,1/05/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No info,7662,0,2019-05-01,05:50:00,13:15:00,0,445,0,1,0,1694,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,1,18,2,1,0,1,0,0,0,2,0,0,2,0,Kolkata_Banglore,2860,1,30,1,0,208.50839867155958,0.2877581928702614,1,0
Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882,0,2019-06-09,09:25:00,04:25:00,0,1140,1,0,1,3706,0,0,DEL,COK,2047.7659403700045,0,1,0,0,0,0,0,0,0,1,6,9,23,2,1,0,1,0,0,1,0,1,0,2,0,Delhi_Cochin,4345,0,21,1,0,107.77715475631602,0.5567042490188194,1,0
IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218,0,2019-05-12,18:05:00,23:30:00,0,325,1,1,0,2043,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,12,19,2,1,0,1,0,0,3,3,0,1,1,0,Kolkata_Banglore,2860,1,19,0,0,285.49611510413547,0.21016047793895495,1,0
IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302,0,2019-03-01,16:50:00,21:35:00,0,285,0,1,0,2043,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,1,9,1,1,1,0,0,0,2,3,0,0,1,0,Banglore_New Delhi,914,0,30,1,0,359.71622849550903,0.16679814600232606,1,0
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873,0,2019-06-24,09:00:00,11:25:00,0,145,0,1,0,815,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,6,24,26,2,1,0,1,0,0,1,1,1,0,0,1,Kolkata_Banglore,2860,1,6,0,1,639.9050855782347,0.09376390554199529,1,0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087,0,2019-03-12,18:55:00,10:25:00,0,930,0,0,0,3706,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,12,11,1,1,1,0,0,0,3,1,0,1,1,0,Banglore_New Delhi,914,0,19,0,0,110.23561840991405,0.5442886869549588,1,0
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,22270,0,2019-03-01,08:00:00,05:05:00,0,1265,0,0,1,3706,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,1,9,1,1,1,0,0,0,1,0,1,0,1,0,Banglore_New Delhi,914,0,30,1,0,81.04278665709096,0.7403496655892718,1,0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087,0,2019-03-12,08:55:00,10:25:00,0,1530,0,0,0,3706,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,12,11,1,1,1,0,0,0,1,1,1,0,1,0,Banglore_New Delhi,914,0,19,0,0,67.0059641315164,0.8954426785388031,1,0
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625,0,2019-05-27,11:25:00,19:15:00,0,470,0,1,0,1209,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,5,27,22,2,1,0,1,0,0,1,3,1,0,1,0,Delhi_Cochin,4345,0,4,0,1,261.41692855787295,0.22951841845512733,1,0
Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907,0,2019-06-01,09:45:00,23:00:00,0,795,1,1,0,1694,0,0,DEL,COK,2047.7659403700045,0,1,0,0,0,0,0,0,0,1,6,1,22,2,1,0,1,0,0,1,3,1,0,1,0,Delhi_Cochin,4345,0,29,1,0,154.54837285811354,0.3882279631315452,1,0
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174,0,2019-04-18,20:20:00,22:55:00,0,155,0,1,0,2043,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,4,18,16,2,1,1,0,0,0,3,3,0,1,0,1,Kolkata_Banglore,2860,1,12,0,0,598.6208865086711,0.10023038178627082,1,0
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,0,2019-06-24,11:40:00,13:55:00,0,135,0,1,0,1694,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,6,24,26,2,1,0,1,0,0,1,2,1,0,0,1,Chennai_Kolkata,381,1,6,0,1,615.6437445724066,0.09745896150000323,1,0
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663,0,2019-05-09,21:10:00,09:20:00,0,730,0,0,1,3706,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,9,19,2,1,0,1,0,0,3,1,0,1,1,0,Kolkata_Banglore,2860,1,22,1,0,127.10443480663565,0.4720527658321142,1,0
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804,0,2019-04-24,17:15:00,19:50:00,0,155,0,1,0,2043,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,4,24,17,2,1,1,0,0,0,2,3,0,0,0,1,Kolkata_Banglore,2860,1,6,0,1,598.6208865086711,0.10023038178627082,1,0
Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011,0,2019-03-03,16:40:00,19:15:00,0,1595,1,0,0,1694,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,3,3,9,1,1,1,0,0,0,2,3,0,0,2,0,Delhi_Cochin,4345,0,28,1,0,77.03194760012556,0.7788976115658044,1,0
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830,0,2019-04-15,08:45:00,13:15:00,0,270,0,1,0,815,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,4,15,16,2,1,1,0,0,0,1,2,1,0,1,0,Delhi_Cochin,4345,0,15,0,0,455.059097860001,0.1318510063465625,1,0
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,0,2019-06-12,14:00:00,12:35:00,0,1355,0,0,0,3706,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,6,12,24,2,1,0,1,0,0,2,2,0,0,1,0,Delhi_Cochin,4345,0,18,0,0,90.67598259940979,0.6616967170355267,1,0
Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381,0,2019-06-12,20:15:00,19:15:00,0,1380,0,0,0,1694,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,6,12,24,2,1,0,1,0,0,3,3,0,1,2,0,Delhi_Cochin,4345,0,18,0,0,89.0333017552176,0.6739051435490973,1,0
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,0,2019-05-27,16:00:00,12:35:00,0,1235,0,0,0,3706,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,5,27,22,2,1,0,1,0,0,2,2,0,0,1,0,Delhi_Cochin,4345,0,4,0,1,99.48660439044556,0.6030962697703878,1,0
GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495,0,2019-03-06,14:10:00,19:20:00,0,310,0,1,0,194,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,3,6,10,1,1,1,0,0,0,2,3,0,0,1,0,Delhi_Cochin,4345,0,25,1,0,396.3417949103234,0.15138448876827548,1,0
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955,0,2019-03-21,22:00:00,13:20:00,0,920,0,0,1,1694,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,21,12,1,1,1,0,0,0,3,2,0,1,1,0,Banglore_New Delhi,914,0,10,0,1,111.43383165350008,0.5384361204285614,1,0
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,0,2019-04-03,04:00:00,06:50:00,0,170,0,1,1,2043,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,4,3,14,2,1,1,0,0,0,0,1,0,0,0,1,Banglore_Delhi,1265,1,27,1,0,603.0536771836476,0.0994936309487559,1,0
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823,0,2019-05-01,18:55:00,21:50:00,0,175,0,1,0,2043,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,5,1,18,2,1,0,1,0,0,3,3,0,1,0,1,Banglore_Delhi,1265,1,30,1,0,585.8235721212576,0.10241991421195461,1,0
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,0,2019-05-06,18:55:00,08:15:00,0,800,0,0,0,3706,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,6,19,2,1,0,1,0,0,3,1,0,1,1,0,Kolkata_Banglore,2860,1,25,1,0,115.98279676105501,0.517318099542043,1,0
